id,composite_ticker,company_name,forecast_e,forecast_s,forecast_g,esg_performance,alpha,m1_pct_return,m3_pct_return,m6_pct_return,y1_pct_return,price
3408,PDP,Invesco DWA Momentum ETF,48.0602,48.243,48.956,47.4327,-0.131234,14.9529,-10.9253,-3.27542,0.71113,53.96
3413,PEY,Invesco High Yield Equity Dividend Achievers ETF,50.1337,50.694,51.6354,50.2568,-0.356521,10.1777,-26.6272,-25.9501,-25.1791,12.95
3421,PFM,Invesco Dividend Achievers ETF,51.2271,51.0064,51.7635,51.5622,-0.267958,12.0219,-13.3897,-10.2089,-6.25738,24.6552
3423,PGAL,Global X MSCI Portugal ETF,33.1677,32.7879,32.1372,29.8,0.570869,7.43073,-22.5953,-20.4298,-25.5061,8.2261
3443,PKB,Invesco Dynamic Building & Construction ETF,47.9816,48.536,49.7305,47.5079,0.190408,23.692,-28.8472,-27.0876,-24.8485,22.033
3444,PKW,Invesco BuyBack Achievers ETF,52.7916,52.0306,52.6479,51.4608,-0.60296,14.4625,-20.9627,-19.5758,-20.0157,48.46
3466,PRF,Invesco FTSE RAFI US 1000 ETF,50.9141,50.6088,51.3146,49.9824,-0.398398,14.4934,-19.1725,-16.9619,-16.2755,92.44
3470,PRN,Invesco DWA Industrials Momentum ETF,49.7675,49.4221,50.6757,48.2809,-0.028471,14.8593,-14.4952,-9.03292,-8.86292,55.6587
3474,PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,44.8919,45.425,47.3674,44.1431,0.220293,35.223,-30.1041,-29.6195,-39.3799,35.68
3475,PSCE,Invesco S&P SmallCap Energy ETF,46.5123,47.8582,49.4014,47.5461,0.395555,50.495,-46.6592,-52.5741,-78.3496,2.19
3478,PSCI,Invesco S&P SmallCap Industrials ETF,47.5544,47.9085,50.2013,47.5648,0.25517,13.2829,-27.6586,-27.9374,-29.5272,48.0156
3480,PSCT,Invesco S&P SmallCap Information Technology ETF,46.6341,46.9626,49.1625,47.1121,0.353207,17.6884,-17.1947,-15.4329,-12.8898,70.94
3481,PSCU,Invesco S&P SmallCap Utilities ETF,47.4395,47.9841,49.2057,46.0291,0.308682,7.97332,-12.7655,-12.3273,-10.4941,45.7738
3483,PSI,Invesco Dynamic Semiconductors ETF,48.9933,49.3102,49.6806,49.1349,0.00680539,16.3823,-10.6994,-3.9881,3.19865,54.34
3509,PWV,Invesco Dynamic Large Cap Value ETF,52.9165,52.6162,53.3586,55.2151,-0.544286,12.2428,-19.8106,-19.0847,-12.7502,30.13
3521,PZD,Invesco Cleantech ETF,46.4951,45.2756,46.4977,43.817,0.230757,15.5633,-17.5943,-11.7688,-13.8574,37.64
3525,QARP,Xtrackers Russell 1000 US QARP ETF,52.7681,52.1913,53.2063,52.9043,-0.382618,14.8697,-14.0504,-10.7816,-8.58291,23.24
3529,QDF,FlexShares Quality Dividend Index Fund,52.067,51.9212,52.7034,52.1604,-0.395536,13.9948,-17.2545,-16.3357,-16.2593,35.96
3530,QDIV,Global X S&P 500 Quality Dividend ETF,51.5776,51.3327,52.0611,51.3281,-0.275937,14.3,-21.3632,-22.3709,-25.1601,18.6123
3531,QDYN,FlexShares Quality Dividend Dynamic Index Fund,52.3181,52.0339,52.9673,53.3827,-0.413,15.2763,-18.8582,-17.0523,-17.7084,34.7593
3535,QGRO,American Century STOXX U.S. Quality Growth ETF,48.4026,48.7048,49.2444,48.5021,-0.268242,17.3764,-8.56045,-2.18685,-0.630423,37.3688
3546,QQQ,Invesco QQQ Trust,52.1747,51.6395,52.2244,52.5822,-0.622303,16.6913,-4.33492,6.97441,12.4084,190.4
3552,QUAL,iShares Edge MSCI USA Quality Factor ETF,52.5418,52.0021,52.9013,53.3392,-0.382382,14.3575,-12.3384,-6.90776,-5.45217,81.04
3553,QUS,SPDR MSCI USA StrategicFactors ETF,51.4845,51.2363,51.7347,51.5993,-0.372342,192.435,139.703,-9.01387,157.912,29.019967
