"cca_id","company_name","sector","forecast_e","forecast_s","forecast_g","dynamic_model_ex_market_sector","m1_pct_return","m3_pct_return","m6_pct_return","y1_pct_return"
"97823","Frank's International NV","Energy","48.0023","46.6798","49.0445","0.181715","-33.9286186263793","-49.9033210096992","-45.4737158798516","-58.2930935302427"
"97825","Freeport-McMoRan, Inc.","Materials","47.7794","49.816","52.802","0.589999","-32.2290414167135","-48.3572162283613","-28.8295547315243","-46.7270475521302"
"97830","FTI Consulting, Inc.","Industrials","51.6893","50.5274","55.1683","-0.141449","6.37701611725947","8.23226869325156","13.0010816523949","55.9096202435716"
"97836","Fulton Financial Corp.","Financials","46.5862","49.4628","50.549","0.018229","-19.5847451593819","-33.3333263879773","-27.4757304869567","-22.9803652682571"
"97843","GameStop Corp.","Consumer Discretionary","50.12","49.999","52.161","-0.743174","-2.77778281358618","-42.4342383578804","-36.5942555746051","-65.5512275782901"
"97844","Gaming & Leisure Properties, Inc.","Real Estate","43.0883","43.4335","43.9586","0.883819","-36.9804197752978","-34.6089708956486","-25.1272489390614","-23.1683183378376"
"97846","Gap, Inc.","Consumer Discretionary","54.6136","55.0778","53.9808","0.00035649","-50.8722737120547","-59.6454069738144","-58.2794275933907","-71.6968307991526"
"97847","Garmin Ltd.","Consumer Discretionary","48.9146","49.0074","47.3542","0.308458","-14.5689947748021","-22.5989524293791","-10.3149889343567","-10.8189600570078"
"97848","Gartner, Inc.","Information Technology","47.8559","48.751","47.2619","0.193387","-23.0466208435254","-35.3861183492181","-30.3657548146152","-34.3551685703997"
"97850","GATX Corp.","Industrials","47.2501","49.3835","49.4718","-1.13983","-12.54018951273","-23.9874290629491","-18.3252357957691","-16.0989844984744"
"97851","GCP Applied Technologies, Inc.","Materials","42.7207","45.8237","50.0536","-0.479946","-8.57731871917249","-21.6204343267762","-7.53247946096006","-39.8648824966425"
"97857","General Dynamics Corp.","Industrials","51.0105","47.8787","49.8931","0.59471","-17.1456790058551","-24.5534707982388","-26.7673173603926","-20.0342599423871"
"97858","General Electric Co.","Industrials","51.2373","52.9473","53.0422","-0.333238","-26.9444162243199","-28.7773709479953","-11.0105710018263","-20.2027048394656"
"97859","General Mills, Inc.","Consumer Staples","54.2678","54.9506","55.9859","-0.0377693","7.69386426559295","-0.553288921593909","-2.49356804882995","5.81715329674539"
"97860","General Motors Co.","Consumer Discretionary","51.1739","52.7607","52.4884","-1.02793","-31.0086589396367","-42.5072237292169","-43.2529027744089","-41.4840593085312"
"97865","Genpact Ltd.","Information Technology","51.5636","52.2129","53.8073","-1.33488","-23.8827990835832","-30.5793687073407","-24.2944745932641","-16.2395794576873"
"97866","Gentex Corp.","Consumer Discretionary","50.4536","48.7663","50.8488","0.276433","-17.0037902928001","-23.2347185965879","-18.842513199415","9.18022386486397"
"97868","Genuine Parts Co.","Consumer Discretionary","46.1531","46.658","46.9268","-0.258853","-22.1102491200024","-36.0340587663031","-31.2640503642745","-37.931941616585"
"97869","Genworth Financial, Inc.","Financials","50.2646","50.4259","53.5559","-1.25706","-14.8718902444615","-24.5455225064979","-24.5455205766208","-13.3159698760358"
"97874","Gilead Sciences, Inc.","Health Care","52.0234","52.9603","54.3586","-1.66095","8.85420776056185","16.1916124909667","20.2344998706198","19.44549596249"
"97884","Global Payments, Inc.","Information Technology","46.8556","47.1408","45.5381","-0.389887","-21.5039598103615","-20.897701914634","-9.07542751675495","5.90964653417916"
"97889","Ally Financial, Inc.","Financials","48.3595","50.5937","51.6447","-1.45483","-42.4411551632322","-52.5049572492012","-55.9859970647607","-46.3282200739064"
"97891","GoDaddy, Inc.","Information Technology","47.0742","48.0216","50.8472","0.996233","-18.3909914176663","-15.9157942235293","-13.4435070569831","-24.0458056288115"
"97892","Golar LNG Ltd.","Energy","41.6042","47.7652","46.8723","0.575541","-38.5095577515214","-44.5850868359923","-39.3379431197548","-62.297242711118"
"97895","Alphabet, Inc.","Communication Services","54.6388","51.9648","50.7748","-0.83341","-13.2388035986521","-13.2478814095765","-4.84720766259089","-1.26955273023367"
"97895","Alphabet, Inc.","Communication Services","54.6388","51.9648","50.7748","-0.83341","-13.1796896218916","-13.0296896820118","-4.60947144612546","-0.894907196936989"
"97896","GoPro, Inc.","Consumer Discretionary","45.3787","47.1263","50.0536","0.969881","-30.9617927142234","-39.6313555898385","-49.469616653054","-59.6923376271159"
"97897","Graco, Inc.","Industrials","47.5442","48.2534","46.5985","-0.238945","-1.19632231853009","-5.98025254318074","6.55833786398137","-0.312435101967889"
"97898","Grand Canyon Education, Inc.","Consumer Discretionary","47.9824","47.9227","53.2922","-0.206421","-5.4474550165151","-20.3622315863963","-22.3166630174618","-33.3813568941875"
"97900","Granite Point Mortgage Trust, Inc.","Financials","42.9383","44.8063","48.5369","-0.777036","-69.122996840118","-72.4156490203945","-71.6908188894959","-70.7991650746569"
"97901","Graphic Packaging Holding Co.","Materials","46.3763","48.6113","53.0183","-2.12452","-9.21746476836064","-26.2834771498888","-16.4138755930126","-1.3397698209822"
"97903","Green Dot Corp.","Financials","45.789","47.0403","48.8331","-0.553108","-25.6733289952928","8.9699028078849","0.554454008727356","-58.1368015565049"
"97904","Greenhill & Co., Inc.","Financials","46.246","46.2601","49.4163","0.403026","-32.4430742928742","-42.1732086200913","-24.4874875814965","-53.6253675660868"
"97909","Groupon, Inc.","Consumer Discretionary","45.3534","48.2228","49.4932","-1.34523","-26.8506944848656","-58.9874066822918","-63.1503420782001","-72.3887026951638"
"97910","Grubhub, Inc.","Consumer Discretionary","46.5345","46.1864","49.1913","0.591382","-15.3398394644651","-16.2623329630156","-27.5396108999516","-41.370393996444"
"97911","Guess?, Inc.","Consumer Discretionary","48.1702","48.7376","48.2639","0.463048","-58.2098634593008","-69.7497615857429","-63.2570461819815","-64.3640468436822"
"97912","Guidewire Software, Inc.","Information Technology","46.2218","48.4799","48.8019","-0.847152","-27.6435294112407","-27.7489757192761","-24.7391425919773","-18.3719130502598"
"97913","Gulfport Energy Corp.","Energy","44.7009","45.8355","48.2863","1.06252","-45.7418709448002","-85.3717127690775","-83.5904087932482","-94.455115341256"
"97919","Halliburton Co.","Energy","49.5334","50.1942","48.0419","-0.228066","-59.155133544804","-71.6906811083723","-62.9423509503231","-75.7331347208124"
"97925","Hanesbrands, Inc.","Consumer Discretionary","53.0541","49.0493","47.8844","0.91279","-40.5589437604347","-46.4474753380522","-47.5994758018868","-54.2167301495017"
"97932","Monster Beverage Corp.","Consumer Staples","46.1847","44.5695","42.6924","0.104839","-9.85417924086097","-11.4712701314456","-3.10017995202372","3.07809814751292"
"97934","Harley-Davidson, Inc.","Consumer Discretionary","52.7627","49.9462","49.808","0.807585","-37.0887154183116","-48.4564048726055","-46.1731534177128","-44.523520080914"
"97936","Harsco Corp.","Industrials","43.4656","46.0754","46.113","0.755153","-41.8683233880883","-69.7088647439997","-63.2384218620191","-65.4266619876954"
"97938","Hasbro, Inc.","Consumer Discretionary","55.0708","55.234","54.1346","0.717896","-7.37856947664689","-31.8030102010189","-38.8944889650504","-13.6437665814471"
"97940","Hawaiian Electric Industries, Inc.","Utilities","48.9702","50.3141","48.9536","1.79624","0.49031359351055","-7.49980518563996","-4.26955962779871","8.68743789607411"
"97943","HCA Healthcare, Inc.","Health Care","50.5139","49.1523","50.171","0.00412953","-29.2575352567199","-39.0067022293153","-24.917590651731","-30.1924594082473"
"97944","Healthpeak Properties, Inc.","Real Estate","54.7983","52.5546","49.6594","0.583125","-24.6208253212412","-30.1233442057618","-31.7169301192302","-20.4486543943216"
